DateKey,FullDate,Year,Month,MonthNum,Quarter,DayOfWeek
20230219,2023-02-19,2023,February,2,Q1,Sunday
20230220,2023-02-20,2023,February,2,Q1,Monday
20230221,2023-02-21,2023,February,2,Q1,Tuesday
20230222,2023-02-22,2023,February,2,Q1,Wednesday
20230223,2023-02-23,2023,February,2,Q1,Thursday
20230224,2023-02-24,2023,February,2,Q1,Friday
20230225,2023-02-25,2023,February,2,Q1,Saturday
20230226,2023-02-26,2023,February,2,Q1,Sunday
20230227,2023-02-27,2023,February,2,Q1,Monday
20230228,2023-02-28,2023,February,2,Q1,Tuesday
20230301,2023-03-01,2023,March,3,Q1,Wednesday
20230302,2023-03-02,2023,March,3,Q1,Thursday
20230303,2023-03-03,2023,March,3,Q1,Friday
20230304,2023-03-04,2023,March,3,Q1,Saturday
20230305,2023-03-05,2023,March,3,Q1,Sunday
20230306,2023-03-06,2023,March,3,Q1,Monday
20230307,2023-03-07,2023,March,3,Q1,Tuesday
20230308,2023-03-08,2023,March,3,Q1,Wednesday
20230309,2023-03-09,2023,March,3,Q1,Thursday
20230310,2023-03-10,2023,March,3,Q1,Friday
20230311,2023-03-11,2023,March,3,Q1,Saturday
20230312,2023-03-12,2023,March,3,Q1,Sunday
20230313,2023-03-13,2023,March,3,Q1,Monday
20230314,2023-03-14,2023,March,3,Q1,Tuesday
20230315,2023-03-15,2023,March,3,Q1,Wednesday
20230316,2023-03-16,2023,March,3,Q1,Thursday
20230317,2023-03-17,2023,March,3,Q1,Friday
20230318,2023-03-18,2023,March,3,Q1,Saturday
20230319,2023-03-19,2023,March,3,Q1,Sunday
20230320,2023-03-20,2023,March,3,Q1,Monday
20230321,2023-03-21,2023,March,3,Q1,Tuesday
20230322,2023-03-22,2023,March,3,Q1,Wednesday
20230323,2023-03-23,2023,March,3,Q1,Thursday
20230324,2023-03-24,2023,March,3,Q1,Friday
20230325,2023-03-25,2023,March,3,Q1,Saturday
20230326,2023-03-26,2023,March,3,Q1,Sunday
20230327,2023-03-27,2023,March,3,Q1,Monday
20230328,2023-03-28,2023,March,3,Q1,Tuesday
20230329,2023-03-29,2023,March,3,Q1,Wednesday
20230330,2023-03-30,2023,March,3,Q1,Thursday
20230331,2023-03-31,2023,March,3,Q1,Friday
20230401,2023-04-01,2023,April,4,Q2,Saturday
20230402,2023-04-02,2023,April,4,Q2,Sunday
20230403,2023-04-03,2023,April,4,Q2,Monday
20230404,2023-04-04,2023,April,4,Q2,Tuesday
20230405,2023-04-05,2023,April,4,Q2,Wednesday
20230406,2023-04-06,2023,April,4,Q2,Thursday
20230407,2023-04-07,2023,April,4,Q2,Friday
20230408,2023-04-08,2023,April,4,Q2,Saturday
20230409,2023-04-09,2023,April,4,Q2,Sunday
20230410,2023-04-10,2023,April,4,Q2,Monday
20230411,2023-04-11,2023,April,4,Q2,Tuesday
20230412,2023-04-12,2023,April,4,Q2,Wednesday
20230413,2023-04-13,2023,April,4,Q2,Thursday
20230414,2023-04-14,2023,April,4,Q2,Friday
20230415,2023-04-15,2023,April,4,Q2,Saturday
20230416,2023-04-16,2023,April,4,Q2,Sunday
20230417,2023-04-17,2023,April,4,Q2,Monday
20230418,2023-04-18,2023,April,4,Q2,Tuesday
20230419,2023-04-19,2023,April,4,Q2,Wednesday
20230420,2023-04-20,2023,April,4,Q2,Thursday
20230421,2023-04-21,2023,April,4,Q2,Friday
20230422,2023-04-22,2023,April,4,Q2,Saturday
20230423,2023-04-23,2023,April,4,Q2,Sunday
20230424,2023-04-24,2023,April,4,Q2,Monday
20230425,2023-04-25,2023,April,4,Q2,Tuesday
20230426,2023-04-26,2023,April,4,Q2,Wednesday
20230427,2023-04-27,2023,April,4,Q2,Thursday
20230428,2023-04-28,2023,April,4,Q2,Friday
20230429,2023-04-29,2023,April,4,Q2,Saturday
20230430,2023-04-30,2023,April,4,Q2,Sunday
20230501,2023-05-01,2023,May,5,Q2,Monday
20230502,2023-05-02,2023,May,5,Q2,Tuesday
20230503,2023-05-03,2023,May,5,Q2,Wednesday
20230504,2023-05-04,2023,May,5,Q2,Thursday
20230505,2023-05-05,2023,May,5,Q2,Friday
20230506,2023-05-06,2023,May,5,Q2,Saturday
20230507,2023-05-07,2023,May,5,Q2,Sunday
20230508,2023-05-08,2023,May,5,Q2,Monday
20230509,2023-05-09,2023,May,5,Q2,Tuesday
20230510,2023-05-10,2023,May,5,Q2,Wednesday
20230511,2023-05-11,2023,May,5,Q2,Thursday
20230512,2023-05-12,2023,May,5,Q2,Friday
20230513,2023-05-13,2023,May,5,Q2,Saturday
20230514,2023-05-14,2023,May,5,Q2,Sunday
20230515,2023-05-15,2023,May,5,Q2,Monday
20230516,2023-05-16,2023,May,5,Q2,Tuesday
20230517,2023-05-17,2023,May,5,Q2,Wednesday
20230518,2023-05-18,2023,May,5,Q2,Thursday
20230519,2023-05-19,2023,May,5,Q2,Friday
20230520,2023-05-20,2023,May,5,Q2,Saturday
20230521,2023-05-21,2023,May,5,Q2,Sunday
20230522,2023-05-22,2023,May,5,Q2,Monday
20230523,2023-05-23,2023,May,5,Q2,Tuesday
20230524,2023-05-24,2023,May,5,Q2,Wednesday
20230525,2023-05-25,2023,May,5,Q2,Thursday
20230526,2023-05-26,2023,May,5,Q2,Friday
20230527,2023-05-27,2023,May,5,Q2,Saturday
20230528,2023-05-28,2023,May,5,Q2,Sunday
20230529,2023-05-29,2023,May,5,Q2,Monday
20230530,2023-05-30,2023,May,5,Q2,Tuesday
20230531,2023-05-31,2023,May,5,Q2,Wednesday
20230601,2023-06-01,2023,June,6,Q2,Thursday
20230602,2023-06-02,2023,June,6,Q2,Friday
20230603,2023-06-03,2023,June,6,Q2,Saturday
20230604,2023-06-04,2023,June,6,Q2,Sunday
20230605,2023-06-05,2023,June,6,Q2,Monday
20230606,2023-06-06,2023,June,6,Q2,Tuesday
20230607,2023-06-07,2023,June,6,Q2,Wednesday
20230608,2023-06-08,2023,June,6,Q2,Thursday
20230609,2023-06-09,2023,June,6,Q2,Friday
20230610,2023-06-10,2023,June,6,Q2,Saturday
20230611,2023-06-11,2023,June,6,Q2,Sunday
20230612,2023-06-12,2023,June,6,Q2,Monday
20230613,2023-06-13,2023,June,6,Q2,Tuesday
20230614,2023-06-14,2023,June,6,Q2,Wednesday
20230615,2023-06-15,2023,June,6,Q2,Thursday
20230616,2023-06-16,2023,June,6,Q2,Friday
20230617,2023-06-17,2023,June,6,Q2,Saturday
20230618,2023-06-18,2023,June,6,Q2,Sunday
20230619,2023-06-19,2023,June,6,Q2,Monday
20230620,2023-06-20,2023,June,6,Q2,Tuesday
20230621,2023-06-21,2023,June,6,Q2,Wednesday
20230622,2023-06-22,2023,June,6,Q2,Thursday
20230623,2023-06-23,2023,June,6,Q2,Friday
20230624,2023-06-24,2023,June,6,Q2,Saturday
20230625,2023-06-25,2023,June,6,Q2,Sunday
20230626,2023-06-26,2023,June,6,Q2,Monday
20230627,2023-06-27,2023,June,6,Q2,Tuesday
20230628,2023-06-28,2023,June,6,Q2,Wednesday
20230629,2023-06-29,2023,June,6,Q2,Thursday
20230630,2023-06-30,2023,June,6,Q2,Friday
20230701,2023-07-01,2023,July,7,Q3,Saturday
20230702,2023-07-02,2023,July,7,Q3,Sunday
20230703,2023-07-03,2023,July,7,Q3,Monday
20230704,2023-07-04,2023,July,7,Q3,Tuesday
20230705,2023-07-05,2023,July,7,Q3,Wednesday
20230706,2023-07-06,2023,July,7,Q3,Thursday
20230707,2023-07-07,2023,July,7,Q3,Friday
20230708,2023-07-08,2023,July,7,Q3,Saturday
20230709,2023-07-09,2023,July,7,Q3,Sunday
20230710,2023-07-10,2023,July,7,Q3,Monday
20230711,2023-07-11,2023,July,7,Q3,Tuesday
20230712,2023-07-12,2023,July,7,Q3,Wednesday
20230713,2023-07-13,2023,July,7,Q3,Thursday
20230714,2023-07-14,2023,July,7,Q3,Friday
20230715,2023-07-15,2023,July,7,Q3,Saturday
20230716,2023-07-16,2023,July,7,Q3,Sunday
20230717,2023-07-17,2023,July,7,Q3,Monday
20230718,2023-07-18,2023,July,7,Q3,Tuesday
20230719,2023-07-19,2023,July,7,Q3,Wednesday
20230720,2023-07-20,2023,July,7,Q3,Thursday
20230721,2023-07-21,2023,July,7,Q3,Friday
20230722,2023-07-22,2023,July,7,Q3,Saturday
20230723,2023-07-23,2023,July,7,Q3,Sunday
20230724,2023-07-24,2023,July,7,Q3,Monday
20230725,2023-07-25,2023,July,7,Q3,Tuesday
20230726,2023-07-26,2023,July,7,Q3,Wednesday
20230727,2023-07-27,2023,July,7,Q3,Thursday
20230728,2023-07-28,2023,July,7,Q3,Friday
20230729,2023-07-29,2023,July,7,Q3,Saturday
20230730,2023-07-30,2023,July,7,Q3,Sunday
20230731,2023-07-31,2023,July,7,Q3,Monday
20230801,2023-08-01,2023,August,8,Q3,Tuesday
20230802,2023-08-02,2023,August,8,Q3,Wednesday
20230803,2023-08-03,2023,August,8,Q3,Thursday
20230804,2023-08-04,2023,August,8,Q3,Friday
20230805,2023-08-05,2023,August,8,Q3,Saturday
20230806,2023-08-06,2023,August,8,Q3,Sunday
20230807,2023-08-07,2023,August,8,Q3,Monday
20230808,2023-08-08,2023,August,8,Q3,Tuesday
20230809,2023-08-09,2023,August,8,Q3,Wednesday
20230810,2023-08-10,2023,August,8,Q3,Thursday
20230811,2023-08-11,2023,August,8,Q3,Friday
20230812,2023-08-12,2023,August,8,Q3,Saturday
20230813,2023-08-13,2023,August,8,Q3,Sunday
20230814,2023-08-14,2023,August,8,Q3,Monday
20230815,2023-08-15,2023,August,8,Q3,Tuesday
20230816,2023-08-16,2023,August,8,Q3,Wednesday
20230817,2023-08-17,2023,August,8,Q3,Thursday
20230818,2023-08-18,2023,August,8,Q3,Friday
20230819,2023-08-19,2023,August,8,Q3,Saturday
20230820,2023-08-20,2023,August,8,Q3,Sunday
20230821,2023-08-21,2023,August,8,Q3,Monday
20230822,2023-08-22,2023,August,8,Q3,Tuesday
20230823,2023-08-23,2023,August,8,Q3,Wednesday
20230824,2023-08-24,2023,August,8,Q3,Thursday
20230825,2023-08-25,2023,August,8,Q3,Friday
20230826,2023-08-26,2023,August,8,Q3,Saturday
20230827,2023-08-27,2023,August,8,Q3,Sunday
20230828,2023-08-28,2023,August,8,Q3,Monday
20230829,2023-08-29,2023,August,8,Q3,Tuesday
20230830,2023-08-30,2023,August,8,Q3,Wednesday
20230831,2023-08-31,2023,August,8,Q3,Thursday
20230901,2023-09-01,2023,September,9,Q3,Friday
20230902,2023-09-02,2023,September,9,Q3,Saturday
20230903,2023-09-03,2023,September,9,Q3,Sunday
20230904,2023-09-04,2023,September,9,Q3,Monday
20230905,2023-09-05,2023,September,9,Q3,Tuesday
20230906,2023-09-06,2023,September,9,Q3,Wednesday
20230907,2023-09-07,2023,September,9,Q3,Thursday
20230908,2023-09-08,2023,September,9,Q3,Friday
20230909,2023-09-09,2023,September,9,Q3,Saturday
20230910,2023-09-10,2023,September,9,Q3,Sunday
20230911,2023-09-11,2023,September,9,Q3,Monday
20230912,2023-09-12,2023,September,9,Q3,Tuesday
20230913,2023-09-13,2023,September,9,Q3,Wednesday
20230914,2023-09-14,2023,September,9,Q3,Thursday
20230915,2023-09-15,2023,September,9,Q3,Friday
20230916,2023-09-16,2023,September,9,Q3,Saturday
20230917,2023-09-17,2023,September,9,Q3,Sunday
20230918,2023-09-18,2023,September,9,Q3,Monday
20230919,2023-09-19,2023,September,9,Q3,Tuesday
20230920,2023-09-20,2023,September,9,Q3,Wednesday
20230921,2023-09-21,2023,September,9,Q3,Thursday
20230922,2023-09-22,2023,September,9,Q3,Friday
20230923,2023-09-23,2023,September,9,Q3,Saturday
20230924,2023-09-24,2023,September,9,Q3,Sunday
20230925,2023-09-25,2023,September,9,Q3,Monday
20230926,2023-09-26,2023,September,9,Q3,Tuesday
20230927,2023-09-27,2023,September,9,Q3,Wednesday
20230928,2023-09-28,2023,September,9,Q3,Thursday
20230929,2023-09-29,2023,September,9,Q3,Friday
20230930,2023-09-30,2023,September,9,Q3,Saturday
20231001,2023-10-01,2023,October,10,Q4,Sunday
20231002,2023-10-02,2023,October,10,Q4,Monday
20231003,2023-10-03,2023,October,10,Q4,Tuesday
20231004,2023-10-04,2023,October,10,Q4,Wednesday
20231005,2023-10-05,2023,October,10,Q4,Thursday
20231006,2023-10-06,2023,October,10,Q4,Friday
20231007,2023-10-07,2023,October,10,Q4,Saturday
20231008,2023-10-08,2023,October,10,Q4,Sunday
20231009,2023-10-09,2023,October,10,Q4,Monday
20231010,2023-10-10,2023,October,10,Q4,Tuesday
20231011,2023-10-11,2023,October,10,Q4,Wednesday
20231012,2023-10-12,2023,October,10,Q4,Thursday
20231013,2023-10-13,2023,October,10,Q4,Friday
20231014,2023-10-14,2023,October,10,Q4,Saturday
20231015,2023-10-15,2023,October,10,Q4,Sunday
20231016,2023-10-16,2023,October,10,Q4,Monday
20231017,2023-10-17,2023,October,10,Q4,Tuesday
20231018,2023-10-18,2023,October,10,Q4,Wednesday
20231019,2023-10-19,2023,October,10,Q4,Thursday
20231020,2023-10-20,2023,October,10,Q4,Friday
20231021,2023-10-21,2023,October,10,Q4,Saturday
20231022,2023-10-22,2023,October,10,Q4,Sunday
20231023,2023-10-23,2023,October,10,Q4,Monday
20231024,2023-10-24,2023,October,10,Q4,Tuesday
20231025,2023-10-25,2023,October,10,Q4,Wednesday
20231026,2023-10-26,2023,October,10,Q4,Thursday
20231027,2023-10-27,2023,October,10,Q4,Friday
20231028,2023-10-28,2023,October,10,Q4,Saturday
20231029,2023-10-29,2023,October,10,Q4,Sunday
20231030,2023-10-30,2023,October,10,Q4,Monday
20231031,2023-10-31,2023,October,10,Q4,Tuesday
20231101,2023-11-01,2023,November,11,Q4,Wednesday
20231102,2023-11-02,2023,November,11,Q4,Thursday
20231103,2023-11-03,2023,November,11,Q4,Friday
20231104,2023-11-04,2023,November,11,Q4,Saturday
20231105,2023-11-05,2023,November,11,Q4,Sunday
20231106,2023-11-06,2023,November,11,Q4,Monday
20231107,2023-11-07,2023,November,11,Q4,Tuesday
20231108,2023-11-08,2023,November,11,Q4,Wednesday
20231109,2023-11-09,2023,November,11,Q4,Thursday
20231110,2023-11-10,2023,November,11,Q4,Friday
20231111,2023-11-11,2023,November,11,Q4,Saturday
20231112,2023-11-12,2023,November,11,Q4,Sunday
20231113,2023-11-13,2023,November,11,Q4,Monday
20231114,2023-11-14,2023,November,11,Q4,Tuesday
20231115,2023-11-15,2023,November,11,Q4,Wednesday
20231116,2023-11-16,2023,November,11,Q4,Thursday
20231117,2023-11-17,2023,November,11,Q4,Friday
20231118,2023-11-18,2023,November,11,Q4,Saturday
20231119,2023-11-19,2023,November,11,Q4,Sunday
20231120,2023-11-20,2023,November,11,Q4,Monday
20231121,2023-11-21,2023,November,11,Q4,Tuesday
20231122,2023-11-22,2023,November,11,Q4,Wednesday
20231123,2023-11-23,2023,November,11,Q4,Thursday
20231124,2023-11-24,2023,November,11,Q4,Friday
20231125,2023-11-25,2023,November,11,Q4,Saturday
20231126,2023-11-26,2023,November,11,Q4,Sunday
20231127,2023-11-27,2023,November,11,Q4,Monday
20231128,2023-11-28,2023,November,11,Q4,Tuesday
20231129,2023-11-29,2023,November,11,Q4,Wednesday
20231130,2023-11-30,2023,November,11,Q4,Thursday
20231201,2023-12-01,2023,December,12,Q4,Friday
20231202,2023-12-02,2023,December,12,Q4,Saturday
20231203,2023-12-03,2023,December,12,Q4,Sunday
20231204,2023-12-04,2023,December,12,Q4,Monday
20231205,2023-12-05,2023,December,12,Q4,Tuesday
20231206,2023-12-06,2023,December,12,Q4,Wednesday
20231207,2023-12-07,2023,December,12,Q4,Thursday
20231208,2023-12-08,2023,December,12,Q4,Friday
20231209,2023-12-09,2023,December,12,Q4,Saturday
20231210,2023-12-10,2023,December,12,Q4,Sunday
20231211,2023-12-11,2023,December,12,Q4,Monday
20231212,2023-12-12,2023,December,12,Q4,Tuesday
20231213,2023-12-13,2023,December,12,Q4,Wednesday
20231214,2023-12-14,2023,December,12,Q4,Thursday
20231215,2023-12-15,2023,December,12,Q4,Friday
20231216,2023-12-16,2023,December,12,Q4,Saturday
20231217,2023-12-17,2023,December,12,Q4,Sunday
20231218,2023-12-18,2023,December,12,Q4,Monday
20231219,2023-12-19,2023,December,12,Q4,Tuesday
20231220,2023-12-20,2023,December,12,Q4,Wednesday
20231221,2023-12-21,2023,December,12,Q4,Thursday
20231222,2023-12-22,2023,December,12,Q4,Friday
20231223,2023-12-23,2023,December,12,Q4,Saturday
20231224,2023-12-24,2023,December,12,Q4,Sunday
20231225,2023-12-25,2023,December,12,Q4,Monday
20231226,2023-12-26,2023,December,12,Q4,Tuesday
20231227,2023-12-27,2023,December,12,Q4,Wednesday
20231228,2023-12-28,2023,December,12,Q4,Thursday
20231229,2023-12-29,2023,December,12,Q4,Friday
20231230,2023-12-30,2023,December,12,Q4,Saturday
20231231,2023-12-31,2023,December,12,Q4,Sunday
20240101,2024-01-01,2024,January,1,Q1,Monday
20240102,2024-01-02,2024,January,1,Q1,Tuesday
20240103,2024-01-03,2024,January,1,Q1,Wednesday
20240104,2024-01-04,2024,January,1,Q1,Thursday
20240105,2024-01-05,2024,January,1,Q1,Friday
20240106,2024-01-06,2024,January,1,Q1,Saturday
20240107,2024-01-07,2024,January,1,Q1,Sunday
20240108,2024-01-08,2024,January,1,Q1,Monday
20240109,2024-01-09,2024,January,1,Q1,Tuesday
20240110,2024-01-10,2024,January,1,Q1,Wednesday
20240111,2024-01-11,2024,January,1,Q1,Thursday
20240112,2024-01-12,2024,January,1,Q1,Friday
20240113,2024-01-13,2024,January,1,Q1,Saturday
20240114,2024-01-14,2024,January,1,Q1,Sunday
20240115,2024-01-15,2024,January,1,Q1,Monday
20240116,2024-01-16,2024,January,1,Q1,Tuesday
20240117,2024-01-17,2024,January,1,Q1,Wednesday
20240118,2024-01-18,2024,January,1,Q1,Thursday
20240119,2024-01-19,2024,January,1,Q1,Friday
20240120,2024-01-20,2024,January,1,Q1,Saturday
20240121,2024-01-21,2024,January,1,Q1,Sunday
20240122,2024-01-22,2024,January,1,Q1,Monday
20240123,2024-01-23,2024,January,1,Q1,Tuesday
20240124,2024-01-24,2024,January,1,Q1,Wednesday
20240125,2024-01-25,2024,January,1,Q1,Thursday
20240126,2024-01-26,2024,January,1,Q1,Friday
20240127,2024-01-27,2024,January,1,Q1,Saturday
20240128,2024-01-28,2024,January,1,Q1,Sunday
20240129,2024-01-29,2024,January,1,Q1,Monday
20240130,2024-01-30,2024,January,1,Q1,Tuesday
20240131,2024-01-31,2024,January,1,Q1,Wednesday
20240201,2024-02-01,2024,February,2,Q1,Thursday
20240202,2024-02-02,2024,February,2,Q1,Friday
20240203,2024-02-03,2024,February,2,Q1,Saturday
20240204,2024-02-04,2024,February,2,Q1,Sunday
20240205,2024-02-05,2024,February,2,Q1,Monday
20240206,2024-02-06,2024,February,2,Q1,Tuesday
20240207,2024-02-07,2024,February,2,Q1,Wednesday
20240208,2024-02-08,2024,February,2,Q1,Thursday
20240209,2024-02-09,2024,February,2,Q1,Friday
20240210,2024-02-10,2024,February,2,Q1,Saturday
20240211,2024-02-11,2024,February,2,Q1,Sunday
20240212,2024-02-12,2024,February,2,Q1,Monday
20240213,2024-02-13,2024,February,2,Q1,Tuesday
20240214,2024-02-14,2024,February,2,Q1,Wednesday
20240215,2024-02-15,2024,February,2,Q1,Thursday
20240216,2024-02-16,2024,February,2,Q1,Friday
20240217,2024-02-17,2024,February,2,Q1,Saturday
20240218,2024-02-18,2024,February,2,Q1,Sunday
20240219,2024-02-19,2024,February,2,Q1,Monday
20240220,2024-02-20,2024,February,2,Q1,Tuesday
20240221,2024-02-21,2024,February,2,Q1,Wednesday
20240222,2024-02-22,2024,February,2,Q1,Thursday
20240223,2024-02-23,2024,February,2,Q1,Friday
20240224,2024-02-24,2024,February,2,Q1,Saturday
20240225,2024-02-25,2024,February,2,Q1,Sunday
20240226,2024-02-26,2024,February,2,Q1,Monday
20240227,2024-02-27,2024,February,2,Q1,Tuesday
20240228,2024-02-28,2024,February,2,Q1,Wednesday
20240229,2024-02-29,2024,February,2,Q1,Thursday
20240301,2024-03-01,2024,March,3,Q1,Friday
20240302,2024-03-02,2024,March,3,Q1,Saturday
20240303,2024-03-03,2024,March,3,Q1,Sunday
20240304,2024-03-04,2024,March,3,Q1,Monday
20240305,2024-03-05,2024,March,3,Q1,Tuesday
20240306,2024-03-06,2024,March,3,Q1,Wednesday
20240307,2024-03-07,2024,March,3,Q1,Thursday
20240308,2024-03-08,2024,March,3,Q1,Friday
20240309,2024-03-09,2024,March,3,Q1,Saturday
20240310,2024-03-10,2024,March,3,Q1,Sunday
20240311,2024-03-11,2024,March,3,Q1,Monday
20240312,2024-03-12,2024,March,3,Q1,Tuesday
20240313,2024-03-13,2024,March,3,Q1,Wednesday
20240314,2024-03-14,2024,March,3,Q1,Thursday
20240315,2024-03-15,2024,March,3,Q1,Friday
20240316,2024-03-16,2024,March,3,Q1,Saturday
20240317,2024-03-17,2024,March,3,Q1,Sunday
20240318,2024-03-18,2024,March,3,Q1,Monday
20240319,2024-03-19,2024,March,3,Q1,Tuesday
20240320,2024-03-20,2024,March,3,Q1,Wednesday
20240321,2024-03-21,2024,March,3,Q1,Thursday
20240322,2024-03-22,2024,March,3,Q1,Friday
20240323,2024-03-23,2024,March,3,Q1,Saturday
20240324,2024-03-24,2024,March,3,Q1,Sunday
20240325,2024-03-25,2024,March,3,Q1,Monday
20240326,2024-03-26,2024,March,3,Q1,Tuesday
20240327,2024-03-27,2024,March,3,Q1,Wednesday
20240328,2024-03-28,2024,March,3,Q1,Thursday
20240329,2024-03-29,2024,March,3,Q1,Friday
20240330,2024-03-30,2024,March,3,Q1,Saturday
20240331,2024-03-31,2024,March,3,Q1,Sunday
20240401,2024-04-01,2024,April,4,Q2,Monday
20240402,2024-04-02,2024,April,4,Q2,Tuesday
20240403,2024-04-03,2024,April,4,Q2,Wednesday
20240404,2024-04-04,2024,April,4,Q2,Thursday
20240405,2024-04-05,2024,April,4,Q2,Friday
20240406,2024-04-06,2024,April,4,Q2,Saturday
20240407,2024-04-07,2024,April,4,Q2,Sunday
20240408,2024-04-08,2024,April,4,Q2,Monday
20240409,2024-04-09,2024,April,4,Q2,Tuesday
20240410,2024-04-10,2024,April,4,Q2,Wednesday
20240411,2024-04-11,2024,April,4,Q2,Thursday
20240412,2024-04-12,2024,April,4,Q2,Friday
20240413,2024-04-13,2024,April,4,Q2,Saturday
20240414,2024-04-14,2024,April,4,Q2,Sunday
20240415,2024-04-15,2024,April,4,Q2,Monday
20240416,2024-04-16,2024,April,4,Q2,Tuesday
20240417,2024-04-17,2024,April,4,Q2,Wednesday
20240418,2024-04-18,2024,April,4,Q2,Thursday
20240419,2024-04-19,2024,April,4,Q2,Friday
20240420,2024-04-20,2024,April,4,Q2,Saturday
20240421,2024-04-21,2024,April,4,Q2,Sunday
20240422,2024-04-22,2024,April,4,Q2,Monday
20240423,2024-04-23,2024,April,4,Q2,Tuesday
20240424,2024-04-24,2024,April,4,Q2,Wednesday
20240425,2024-04-25,2024,April,4,Q2,Thursday
20240426,2024-04-26,2024,April,4,Q2,Friday
20240427,2024-04-27,2024,April,4,Q2,Saturday
20240428,2024-04-28,2024,April,4,Q2,Sunday
20240429,2024-04-29,2024,April,4,Q2,Monday
20240430,2024-04-30,2024,April,4,Q2,Tuesday
20240501,2024-05-01,2024,May,5,Q2,Wednesday
20240502,2024-05-02,2024,May,5,Q2,Thursday
20240503,2024-05-03,2024,May,5,Q2,Friday
20240504,2024-05-04,2024,May,5,Q2,Saturday
20240505,2024-05-05,2024,May,5,Q2,Sunday
20240506,2024-05-06,2024,May,5,Q2,Monday
20240507,2024-05-07,2024,May,5,Q2,Tuesday
20240508,2024-05-08,2024,May,5,Q2,Wednesday
20240509,2024-05-09,2024,May,5,Q2,Thursday
20240510,2024-05-10,2024,May,5,Q2,Friday
20240511,2024-05-11,2024,May,5,Q2,Saturday
20240512,2024-05-12,2024,May,5,Q2,Sunday
20240513,2024-05-13,2024,May,5,Q2,Monday
20240514,2024-05-14,2024,May,5,Q2,Tuesday
20240515,2024-05-15,2024,May,5,Q2,Wednesday
20240516,2024-05-16,2024,May,5,Q2,Thursday
20240517,2024-05-17,2024,May,5,Q2,Friday
20240518,2024-05-18,2024,May,5,Q2,Saturday
20240519,2024-05-19,2024,May,5,Q2,Sunday
20240520,2024-05-20,2024,May,5,Q2,Monday
20240521,2024-05-21,2024,May,5,Q2,Tuesday
20240522,2024-05-22,2024,May,5,Q2,Wednesday
20240523,2024-05-23,2024,May,5,Q2,Thursday
20240524,2024-05-24,2024,May,5,Q2,Friday
20240525,2024-05-25,2024,May,5,Q2,Saturday
20240526,2024-05-26,2024,May,5,Q2,Sunday
20240527,2024-05-27,2024,May,5,Q2,Monday
20240528,2024-05-28,2024,May,5,Q2,Tuesday
20240529,2024-05-29,2024,May,5,Q2,Wednesday
